round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,unweighted_error,noisy_weight,clean_weight,val_acc,val_f1
789,0.884894732412741,0.07880148291028677,0.5054464285714285,0.4928855014340531,0.9218571428571428,,,0.5069285714285714,0.49308151962059316
790,0.8918562246624125,0.043690617889862615,0.5050357142857143,0.4924270147899431,0.9027321428571429,,,0.5055714285714286,0.491626192532408
791,0.8918721558410698,0.043608023671102725,0.5053035714285714,0.4927508092003154,0.8617678571428572,,,0.5052857142857143,0.49141689728282784
792,0.8921050594321058,0.042399326606875176,0.504875,0.4921205751197551,0.9229285714285714,,,0.5052142857142857,0.49110378568658924
793,0.8898586117645739,0.05396343922557234,0.5047678571428571,0.49209281000784577,0.8793928571428572,,,0.5052142857142857,0.49121189553897854
794,0.8877804155575296,0.06447883597752258,0.5052142857142857,0.4924144783285624,0.8938035714285715,,,0.5060714285714286,0.49228417304711025
795,0.8874454476285805,0.06615776970920395,0.5046428571428572,0.4921056710046754,0.9349107142857143,,,0.5052857142857143,0.49141441650515516
796,0.8914981463215041,0.04554423837230681,0.5046607142857142,0.4919318373026581,0.887375,,,0.5050714285714286,0.490983622661337
797,0.888402225436397,0.06135054444371035,0.5043928571428572,0.4920144504275462,0.9339642857142857,,,0.5049285714285714,0.4913007972943381
798,0.8896461244630862,0.055046529567451374,0.5037678571428571,0.4912014223010484,0.8904464285714285,,,0.5047857142857143,0.49102093414273734
799,0.8907654922754431,0.049320199401205134,0.5031785714285715,0.49172547762185176,0.9007857142857143,,,0.5046428571428572,0.4922312189530212
800,0.8881788399661611,0.06247613396282592,0.5038035714285715,0.49239195796840984,0.8848035714285715,,,0.5052142857142857,0.4928976827450075
801,0.8884418886515877,0.061150484454176146,0.5041964285714285,0.49240980812239127,0.8970357142857143,,,0.5047857142857143,0.4922443313230942
802,0.8898199620520364,0.05416058068247964,0.5048392857142857,0.4928161389084801,0.8715714285714286,,,0.5052857142857143,0.49241753283356493
803,0.8913772148959911,0.046169035631703714,0.5041607142857143,0.49326928869613307,0.8831071428571429,,,0.5049285714285714,0.4931950313887608
804,0.8900741685881967,0.05286283053708751,0.5049107142857143,0.4936303220250167,0.8840178571428572,,,0.5048571428571429,0.49282982379215634
805,0.8909913985363663,0.048158297628564384,0.5046607142857142,0.49354421631597417,0.8947321428571429,,,0.5047142857142857,0.49288229096600994
806,0.8892295338444323,0.057164684843641345,0.5041785714285715,0.4934190596234016,0.8832857142857143,,,0.5038571428571429,0.4923342230938733
807,0.8876820273713982,0.06497243295452937,0.5047142857142857,0.49373704491541603,0.9179107142857142,,,0.505,0.49335199821466463
808,0.8891247175787979,0.05769652487609833,0.5053928571428571,0.49410170611182186,0.91625,,,0.5056428571428572,0.49364200013463433
809,0.8918871698394009,0.043530174728889204,0.5052142857142857,0.494031783634011,0.9118392857142857,,,0.5061428571428571,0.4943701928862783
810,0.886523091067168,0.07075838770299603,0.5052857142857143,0.49408490358606355,0.8677321428571428,,,0.5055714285714286,0.49380996847511327
811,0.8873466876941188,0.06665194356469328,0.5046607142857142,0.49308131959794127,0.868,,,0.5053571428571428,0.49312825963920226
